Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 001 | train loss=1.2495, train IoU=0.0000 | val loss=1.0614, val IoU=0.0000
Epoch 002 | train loss=1.0881, train IoU=0.0000 | val loss=1.0439, val IoU=0.0000
Epoch 003 | train loss=1.0764, train IoU=0.0000 | val loss=1.0366, val IoU=0.0000
Epoch 004 | train loss=1.0694, train IoU=0.0000 | val loss=1.0345, val IoU=0.0000
Epoch 005 | train loss=1.0637, train IoU=0.0000 | val loss=1.0315, val IoU=0.0000
Epoch 006 | train loss=1.0510, train IoU=0.0000 | val loss=1.0312, val IoU=0.0000
Epoch 007 | train loss=1.0375, train IoU=0.0000 | val loss=1.0263, val IoU=0.0000
Epoch 008 | train loss=1.0338, train IoU=0.0030 | val loss=1.0253, val IoU=0.0000
Epoch 009 | train loss=1.0305, train IoU=0.0172 | val loss=1.0210, val IoU=0.0000
Epoch 010 | train loss=1.0238, train IoU=0.0342 | val loss=1.0208, val IoU=0.0000
Epoch 011 | train loss=1.0281, train IoU=0.0077 | val loss=1.0220, val IoU=0.0000
Epoch 012 | train loss=1.0161, train IoU=0.0172 | val loss=1.0160, val IoU=0.0000
Epoch 013 | train loss=1.0136, train IoU=0.0517 | val loss=1.0152, val IoU=0.0000
Epoch 014 | train loss=1.0065, train IoU=0.0558 | val loss=1.0124, val IoU=0.0000
Epoch 015 | train loss=1.0056, train IoU=0.0555 | val loss=1.0113, val IoU=0.0000
Epoch 016 | train loss=1.0009, train IoU=0.0599 | val loss=1.0105, val IoU=0.0000
Epoch 017 | train loss=0.9995, train IoU=0.0295 | val loss=1.0095, val IoU=0.0000
Epoch 018 | train loss=0.9967, train IoU=0.0613 | val loss=1.0093, val IoU=0.0000
Epoch 019 | train loss=0.9962, train IoU=0.0575 | val loss=1.0082, val IoU=0.0000
Epoch 020 | train loss=0.9949, train IoU=0.0188 | val loss=1.0106, val IoU=0.0000
Epoch 021 | train loss=0.9958, train IoU=0.0193 | val loss=1.0075, val IoU=0.0000
Epoch 022 | train loss=1.0017, train IoU=0.0186 | val loss=1.0111, val IoU=0.0000
Epoch 023 | train loss=1.0001, train IoU=0.0560 | val loss=1.0072, val IoU=0.0000
Epoch 024 | train loss=0.9998, train IoU=0.0177 | val loss=1.0066, val IoU=0.0000
Epoch 025 | train loss=0.9977, train IoU=0.0200 | val loss=1.0070, val IoU=0.0000
Epoch 026 | train loss=0.9888, train IoU=0.0207 | val loss=1.0061, val IoU=0.0000
Epoch 027 | train loss=0.9919, train IoU=0.0607 | val loss=1.0055, val IoU=0.0000
Epoch 028 | train loss=1.0005, train IoU=0.0155 | val loss=1.0080, val IoU=0.0000
Epoch 029 | train loss=0.9915, train IoU=0.0322 | val loss=1.0052, val IoU=0.0000
Epoch 030 | train loss=0.9875, train IoU=0.0268 | val loss=1.0047, val IoU=0.0000
Epoch 031 | train loss=0.9819, train IoU=0.0409 | val loss=1.0047, val IoU=0.0000
Epoch 032 | train loss=0.9804, train IoU=0.0397 | val loss=1.0049, val IoU=0.0000
Epoch 033 | train loss=0.9780, train IoU=0.0358 | val loss=1.0041, val IoU=0.0000
Epoch 034 | train loss=0.9909, train IoU=0.0586 | val loss=1.0061, val IoU=0.0000
Epoch 035 | train loss=0.9875, train IoU=0.0409 | val loss=1.0051, val IoU=0.0000
Epoch 036 | train loss=0.9750, train IoU=0.0331 | val loss=1.0041, val IoU=0.0000
Epoch 037 | train loss=0.9721, train IoU=0.0522 | val loss=1.0049, val IoU=0.0000
